Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), samtliga elever
Valt läsår: 2020/21

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Ale;1440;Västra Götalands län;14;Samtliga;409;16,6;77,3;11,7;11,0;
Ale;1440;Västra Götalands län;14;Kommunal;365;17,0;76,4;11,5;12,1;
Ale;1440;Västra Götalands län;14;Enskild;44;13,4;84,1;..;..;
Alingsås;1489;Västra Götalands län;14;Samtliga;543;15,6;74,6;11,2;14,2;
Alingsås;1489;Västra Götalands län;14;Kommunal;441;15,4;73,2;12,0;14,7;
Alingsås;1489;Västra Götalands län;14;Enskild;102;16,4;80,4;..;..;
Alvesta;0764;Kronobergs län;07;Samtliga;264;17,0;69,3;11,0;19,7;
Alvesta;0764;Kronobergs län;07;Kommunal;256;17,0;69,1;10,9;19,9;
Alvesta;0764;Kronobergs län;07;Enskild;..;..;..;..;..;
Aneby;0604;Jönköpings län;06;Samtliga;84;12,1;71,4;..;..;
Aneby;0604;Jönköpings län;06;Kommunal;81;12,0;74,1;..;..;
Aneby;0604;Jönköpings län;06;Enskild;..;..;.;.;..;
Arboga;1984;Västmanlands län;19;Samtliga;143;14,1;70,6;13,3;16,1;
Arboga;1984;Västmanlands län;19;Kommunal;143;14,1;70,6;13,3;16,1;
Arjeplog;2506;Norrbottens län;25;Samtliga;17;17,0;~100;.;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;17;17,0;~100;.;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;59;10,9;84,7;..;..;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;59;10,9;84,7;..;..;
Arvika;1784;Värmlands län;17;Samtliga;265;16,8;68,7;9,8;21,5;
Arvika;1784;Värmlands län;17;Kommunal;265;16,8;68,7;9,8;21,5;
Askersund;1882;Örebro län;18;Samtliga;107;16,7;67,3;11,2;21,5;
Askersund;1882;Örebro län;18;Kommunal;107;16,7;67,3;11,2;21,5;
Avesta;2084;Dalarnas län;20;Samtliga;257;16,9;62,3;15,2;22,6;
Avesta;2084;Dalarnas län;20;Kommunal;242;16,9;61,2;15,7;23,1;
Avesta;2084;Dalarnas län;20;Enskild;15;16,8;~100;..;..;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;117;11,7;63,2;16,2;20,5;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;117;11,7;63,2;16,2;20,5;
Berg;2326;Jämtlands län;23;Samtliga;69;16,9;79,7;..;..;
Berg;2326;Jämtlands län;23;Kommunal;61;16,9;77,0;..;..;
Berg;2326;Jämtlands län;23;Enskild;..;..;..;.;.;
Bjurholm;2403;Västerbottens län;24;Samtliga;20;16,7;50,0;..;..;
Bjurholm;2403;Västerbottens län;24;Kommunal;20;16,7;50,0;..;..;
Bjuv;1260;Skåne län;12;Samtliga;211;17,0;48,3;12,8;38,9;
Bjuv;1260;Skåne län;12;Kommunal;211;17,0;48,3;12,8;38,9;
Boden;2582;Norrbottens län;25;Samtliga;279;16,0;72,8;10,4;16,8;
Boden;2582;Norrbottens län;25;Kommunal;214;16,0;72,9;9,8;17,3;
Boden;2582;Norrbottens län;25;Enskild;65;16,0;72,3;..;..;
Bollebygd;1443;Västra Götalands län;14;Samtliga;125;16,9;77,6;8,0;14,4;
Bollebygd;1443;Västra Götalands län;14;Kommunal;103;16,9;73,8;9,7;16,5;
Bollebygd;1443;Västra Götalands län;14;Enskild;22;17,0;~100;.;..;
Bollnäs;2183;Gävleborgs län;21;Samtliga;286;17,0;73,4;6,6;19,9;
Bollnäs;2183;Gävleborgs län;21;Kommunal;244;17,0;72,1;7,0;20,9;
Bollnäs;2183;Gävleborgs län;21;Enskild;42;16,7;81,0;..;..;
Borgholm;0885;Kalmar län;08;Samtliga;89;17,0;59,6;15,7;24,7;
Borgholm;0885;Kalmar län;08;Kommunal;89;17,0;59,6;15,7;24,7;
Borlänge;2081;Dalarnas län;20;Samtliga;660;17,1;62,9;12,4;24,7;
Borlänge;2081;Dalarnas län;20;Kommunal;599;17,1;62,9;12,5;24,5;
Borlänge;2081;Dalarnas län;20;Enskild;61;17,0;62,3;..;..;
Borås;1490;Västra Götalands län;14;Samtliga;1 403;16,9;71,6;9,4;19,0;
Borås;1490;Västra Götalands län;14;Kommunal;1 118;16,8;68,9;9,1;22,0;
Borås;1490;Västra Götalands län;14;Enskild;285;17,0;82,1;10,5;7,4;
Botkyrka;0127;Stockholms län;01;Samtliga;1 133;16,4;60,9;12,0;27,1;
Botkyrka;0127;Stockholms län;01;Kommunal;908;16,6;56,5;12,4;31,1;
Botkyrka;0127;Stockholms län;01;Enskild;225;15,7;78,7;10,2;11,1;
Boxholm;0560;Östergötlands län;05;Samtliga;55;12,0;83,6;..;..;
Boxholm;0560;Östergötlands län;05;Kommunal;55;12,0;83,6;..;..;
Bromölla;1272;Skåne län;12;Samtliga;151;17,0;60,3;16,6;23,2;
Bromölla;1272;Skåne län;12;Kommunal;151;17,0;60,3;16,6;23,2;
Bräcke;2305;Jämtlands län;23;Samtliga;56;16,6;64,3;..;..;
Bräcke;2305;Jämtlands län;23;Kommunal;56;16,6;64,3;..;..;
Burlöv;1231;Skåne län;12;Samtliga;197;17,1;64,5;12,7;22,8;
Burlöv;1231;Skåne län;12;Kommunal;197;17,1;64,5;12,7;22,8;
Båstad;1278;Skåne län;12;Samtliga;155;16,4;78,1;..;..;
Båstad;1278;Skåne län;12;Kommunal;136;17,1;77,2;..;..;
Båstad;1278;Skåne län;12;Enskild;19;12,1;~100;..;..;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;48;16,7;70,8;..;..;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;48;16,7;70,8;..;..;
Danderyd;0162;Stockholms län;01;Samtliga;515;17,0;91,7;3,1;5,2;
