Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), samtliga elever
Valt läsår: 2021/22

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Ale;1440;Västra Götalands län;14;Samtliga;447;17,0;77,6;9,8;12,5;
Ale;1440;Västra Götalands län;14;Kommunal;425;17,0;78,6;9,2;12,2;
Ale;1440;Västra Götalands län;14;Enskild;22;16,6;59,1;..;..;
Alingsås;1489;Västra Götalands län;14;Samtliga;544;16,1;72,2;9,2;18,6;
Alingsås;1489;Västra Götalands län;14;Kommunal;447;16,0;72,0;9,2;18,8;
Alingsås;1489;Västra Götalands län;14;Enskild;97;16,4;73,2;..;..;
Alvesta;0764;Kronobergs län;07;Samtliga;253;16,8;69,2;14,2;16,6;
Alvesta;0764;Kronobergs län;07;Kommunal;243;16,8;69,1;14,0;16,9;
Alvesta;0764;Kronobergs län;07;Enskild;10;16,5;..;..;..;
Aneby;0604;Jönköpings län;06;Samtliga;81;12,1;59,3;..;..;
Aneby;0604;Jönköpings län;06;Kommunal;76;11,9;63,2;..;..;
Aneby;0604;Jönköpings län;06;Enskild;..;..;.;..;..;
Arboga;1984;Västmanlands län;19;Samtliga;139;14,5;64,7;12,2;23,0;
Arboga;1984;Västmanlands län;19;Kommunal;138;14,5;64,5;12,3;23,2;
Arboga;1984;Västmanlands län;19;Enskild;..;..;..;.;.;
Arjeplog;2506;Norrbottens län;25;Samtliga;25;16,7;~100;.;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;25;16,7;~100;.;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;49;15,8;79,6;..;..;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;49;15,8;79,6;..;..;
Arvika;1784;Värmlands län;17;Samtliga;278;16,9;71,9;11,9;16,2;
Arvika;1784;Värmlands län;17;Kommunal;278;16,9;71,9;11,9;16,2;
Askersund;1882;Örebro län;18;Samtliga;116;16,7;75,0;9,5;15,5;
Askersund;1882;Örebro län;18;Kommunal;116;16,7;75,0;9,5;15,5;
Avesta;2084;Dalarnas län;20;Samtliga;218;17,0;59,6;18,8;21,6;
Avesta;2084;Dalarnas län;20;Kommunal;204;17,1;59,8;18,6;21,6;
Avesta;2084;Dalarnas län;20;Enskild;14;15,6;..;..;..;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;92;11,8;65,2;10,9;23,9;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;92;11,8;65,2;10,9;23,9;
Berg;2326;Jämtlands län;23;Samtliga;69;16,8;53,6;18,8;27,5;
