Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Kostnader per kommun
Valt år: 2021
Endast kommunal huvudman

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Genomsnittligt elevantal;Totalt;Undervisning;Totalt per elev;Undervisning per elev;Lokaler per elev;Måltider per elev;Lärverktyg per elev;Elevhälsa per elev;Övrigt per elev;
Herrljunga;1466;Västra Götalands län;14;Kommunal;227;34221;18 877;150 800;83 200;18 500;6 100;18 600;5 310;19 100;
Hjo;1497;Västra Götalands län;14;Kommunal;13;3619;2 399;278 400;184 500;24 000;11 500;10 800;1 150;46 500;
Hofors;2104;Gävleborgs län;21;Kommunal;21;3761;1 243;179 100;59 200;24 200;2 400;27 400;13 520;52 400;
Huddinge;0126;Stockholms län;01;Kommunal;2 880;378757;251 025;131 500;87 200;25 400;7 300;5 900;2 830;3 000;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;1 448;162691;85 514;112 400;59 100;20 700;5 300;8 200;1 650;17 400;
Hultsfred;0860;Kalmar län;08;Kommunal;467;58153;32 791;124 700;70 300;17 400;4 200;7 600;3 500;21 700;
Hylte;1315;Hallands län;13;Kommunal;78;11125;7 248;143 500;93 500;14 600;9 700;5 100;7 770;12 800;
Håbo;0305;Uppsala län;03;Kommunal;593;86800;47 331;146 400;79 800;16 100;6 100;7 900;4 070;32 400;
Hällefors;1863;Örebro län;18;Kommunal;139;25535;19 063;183 700;137 100;13 800;5 600;2 200;3 370;21 600;
Hälsinglands Utbildningsförbund;3214;;;Kommunal;1 254;172608;98 072;137 700;78 200;22 400;4 200;15 400;2 260;15 100;
Härjedalen;2361;Jämtlands län;23;Kommunal;209;47202;25 536;225 800;122 200;31 100;9 200;23 700;2 900;36 800;
Härnösand;2280;Västernorrlands län;22;Kommunal;862;121689;69 634;141 200;80 800;23 500;5 800;7 200;5 680;18 200;
Härryda;1401;Västra Götalands län;14;Kommunal;1 806;184511;108 780;102 200;60 200;11 500;4 400;8 600;3 650;13 900;
Hässleholm;1293;Skåne län;12;Kommunal;1 461;214438;119 197;146 800;81 600;26 300;4 300;11 200;4 350;19 100;
Höganäs;1284;Skåne län;12;Kommunal;398;60555;35 784;152 300;90 000;19 700;7 600;10 100;3 700;21 100;
Högsby;0821;Kalmar län;08;Kommunal;51;10429;6 020;204 500;118 000;32 700;3 700;22 200;1 120;26 800;
Hörby;1266;Skåne län;12;Kommunal;28;7302;4 391;260 800;156 800;34 000;1 200;3 200;.;65 600;
Höör;1267;Skåne län;12;Kommunal;22;6928;2 689;322 200;125 100;28 900;8 900;9 100;22 370;127 900;
Jokkmokk;2510;Norrbottens län;25;Kommunal;0;4634;.;.;.;.;.;.;.;.;
Jämtlands Gymnasieförbund;3233;;;Kommunal;3 450;481804;264 870;139 700;76 800;20 200;5 400;13 600;2 900;20 800;
Järfälla;0123;Stockholms län;01;Kommunal;851;108054;56 614;127 000;66 600;23 400;6 700;11 800;4 430;14 100;
Jönköping;0680;Jönköpings län;06;Kommunal;5 207;528432;288 334;101 500;55 400;17 100;3 800;7 800;2 710;14 700;
Kalix;2514;Norrbottens län;25;Kommunal;572;99920;53 572;174 800;93 700;28 800;8 700;16 600;4 500;22 400;
Kalmar;0880;Kalmar län;08;Kommunal;0;-1618;.;.;.;.;.;.;.;.;
Kalmarsunds Gymnasieförbund;3080;;;Kommunal;3 225;374357;177 090;116 100;54 900;20 000;6 000;12 600;5 820;16 800;
Karlsborg;1446;Västra Götalands län;14;Kommunal;11;4013;1 328;364 800;120 700;39 400;12 100;4 800;10 550;177 300;
Karlshamn;1082;Blekinge län;10;Kommunal;1 035;127013;69 816;122 700;67 500;16 600;5 100;10 300;2 170;21 200;
Karlskoga;1883;Örebro län;18;Kommunal;820;125711;62 688;153 300;76 400;31 100;5 600;10 600;4 310;25 200;
Karlskrona;1080;Blekinge län;10;Kommunal;2 237;271711;149 459;121 500;66 800;18 800;4 800;6 600;3 800;20 700;
Karlstad;1780;Värmlands län;17;Kommunal;3 571;418794;224 719;117 300;62 900;19 300;5 400;10 600;3 660;15 400;
Katrineholm;0483;Södermanlands län;04;Kommunal;1 439;165558;90 007;115 100;62 600;17 100;4 600;8 400;3 910;18 500;
Kil;1715;Värmlands län;17;Kommunal;17;3251;2 253;191 200;132 500;13 800;6 500;3 100;.;35 400;
Kinda;0513;Östergötlands län;05;Kommunal;0;820;.;.;.;.;.;.;.;.;
Kiruna;2584;Norrbottens län;25;Kommunal;0;21075;.;.;.;.;.;.;.;.;
Klippan;1276;Skåne län;12;Kommunal;947;133275;66 519;140 700;70 200;21 700;6 700;14 200;6 410;21 500;
Knivsta;0330;Uppsala län;03;Kommunal;106;18148;9 466;172 000;89 700;27 500;2 900;500;2 790;48 700;
Kommunsamverkan Cura Individutveckling;3100;;;Kommunal;55;18684;14 242;342 800;261 300;17 200;5 800;9 200;10 720;38 600;
Kramfors;2282;Västernorrlands län;22;Kommunal;691;107849;61 322;156 200;88 800;22 000;5 000;14 300;5 560;20 500;
Kristianstad;1290;Skåne län;12;Kommunal;2 835;315645;173 507;111 300;61 200;16 600;6 800;8 200;2 680;15 800;
Kristinehamn;1781;Värmlands län;17;Kommunal;591;83092;42 458;140 600;71 800;17 300;5 700;14 600;6 510;24 700;
Krokom;2309;Jämtlands län;23;Kommunal;0;0;.;.;.;.;.;.;.;.;
Kumla;1881;Örebro län;18;Kommunal;27;15067;8 218;558 000;304 400;122 500;18 600;7 600;3 890;101 100;
Kungsbacka;1384;Hallands län;13;Kommunal;3 000;343546;185 295;114 500;61 800;19 400;4 400;6 300;2 650;20 000;
Kungsör;1960;Västmanlands län;19;Kommunal;32;5387;2 989;168 300;93 400;15 400;4 200;2 800;3 130;49 300;
Kungälv;1482;Västra Götalands län;14;Kommunal;1 584;170460;97 693;107 600;61 700;18 600;4 900;6 900;4 920;10 700;
Kunskapsförbundet Väst;3140;;;Kommunal;2 584;340116;165 497;131 600;64 000;29 100;4 300;6 700;3 140;24 400;
Kävlinge;1261;Skåne län;12;Kommunal;35;10870;9 239;315 100;267 800;25 500;-22 500;1 800;.;42 500;
Köping;1983;Västmanlands län;19;Kommunal;1 060;140113;75 951;132 200;71 700;14 300;2 800;12 000;1 940;29 500;
Laholm;1381;Hallands län;13;Kommunal;455;58474;32 555;128 700;71 600;5 300;7 500;10 100;6 190;28 000;
Landskrona;1282;Skåne län;12;Kommunal;496;75648;36 485;152 500;73 600;27 200;5 400;7 000;3 380;36 000;
Lapplands Kommunalförbund;3250;;;Kommunal;1 485;180520;134 568;121 600;90 600;.;.;6 800;.;24 200;
Laxå;1860;Örebro län;18;Kommunal;0;99;.;.;.;.;.;.;.;.;
Lekeberg;1814;Örebro län;18;Kommunal;6;3040;1 599;506 700;266 500;39 800;51 700;9 500;25 670;113 500;
Leksand;2029;Dalarnas län;20;Kommunal;504;69236;37 781;137 400;75 000;24 300;7 300;5 500;2 550;22 700;
Lerum;1441;Västra Götalands län;14;Kommunal;1 320;139680;80 103;105 900;60 700;24 400;3 900;8 200;3 000;5 600;
Lessebo;0761;Kronobergs län;07;Kommunal;53;11808;6 930;224 900;132 000;20 900;12 000;3 300;21 620;35 100;
Lidingö;0186;Stockholms län;01;Kommunal;1 004;96373;55 437;96 000;55 200;14 000;3 400;6 000;2 860;14 500;
Lidköping;1494;Västra Götalands län;14;Kommunal;1 904;241239;127 829;126 700;67 200;21 400;7 100;11 000;3 410;16 700;
Lilla Edet;1462;Västra Götalands län;14;Kommunal;0;2105;.;.;.;.;.;.;.;.;
Lindesberg;1885;Örebro län;18;Kommunal;786;134648;73 429;171 400;93 500;44 700;7 000;6 600;3 350;16 400;
Linköping;0580;Östergötlands län;05;Kommunal;4 585;600485;303 930;131 000;66 300;27 200;3 800;6 700;2 830;24 200;
Ljungby;0781;Kronobergs län;07;Kommunal;935;119307;63 038;127 600;67 400;22 400;5 000;9 800;2 960;20 000;
Ljusdal;2161;Gävleborgs län;21;Kommunal;467;79773;43 787;170 800;93 800;27 300;7 900;8 800;4 240;28 800;
Ljusnarsberg;1864;Örebro län;18;Kommunal;0;1;.;.;.;.;.;.;.;.;
Lomma;1262;Skåne län;12;Kommunal;0;6652;522;.;.;.;.;.;.;.;
Ludvika;2085;Dalarnas län;20;Kommunal;1;0;.;0;.;.;.;.;.;.;
Luleå;2580;Norrbottens län;25;Kommunal;2 318;289899;146 867;125 100;63 400;23 300;4 200;8 600;5 150;20 400;
Lund;1281;Skåne län;12;Kommunal;6 961;749511;413 177;107 700;59 400;20 800;3 900;8 900;2 880;11 900;
Lycksele;2481;Västerbottens län;24;Kommunal;539;100099;57 932;185 900;107 600;29 400;6 500;20 500;4 620;17 300;
Lysekil;1484;Västra Götalands län;14;Kommunal;518;92821;48 969;179 200;94 500;39 400;4 300;9 700;3 970;27 300;
Malmö;1280;Skåne län;12;Kommunal;6 479;840597;387 495;129 700;59 800;26 200;6 200;9 100;4 890;23 600;
Malung-Sälen;2023;Dalarnas län;20;Kommunal;343;62814;36 565;183 400;106 800;31 500;8 600;8 700;10 880;17 000;
Malå;2418;Västerbottens län;24;Kommunal;17;2328;1 206;136 900;70 900;19 500;7 200;1 900;.;37 400;
Mariestad;1493;Västra Götalands län;14;Kommunal;729;87089;46 867;119 500;64 300;19 300;6 900;9 300;4 740;14 900;
Mark;1463;Västra Götalands län;14;Kommunal;923;127036;70 526;137 600;76 400;20 000;4 300;13 500;2 750;20 800;
Markaryd;0767;Kronobergs län;07;Kommunal;312;42768;27 493;137 100;88 100;13 400;2 100;6 900;2 140;24 400;
Mellerud;1461;Västra Götalands län;14;Kommunal;118;19652;9 329;166 500;79 100;22 700;6 200;5 200;7 080;46 300;
Mjölby;0586;Östergötlands län;05;Kommunal;680;101142;52 401;148 800;77 100;29 200;5 800;12 800;4 750;19 200;
Mora;2062;Dalarnas län;20;Kommunal;1 006;145406;81 784;144 600;81 300;18 900;5 700;15 200;3 980;19 500;
Motala;0583;Östergötlands län;05;Kommunal;1 195;149739;82 162;125 400;68 800;18 500;5 200;8 900;4 080;19 900;
Mullsjö;0642;Jönköpings län;06;Kommunal;0;689;.;.;.;.;.;.;.;.;
Munkedal;1430;Västra Götalands län;14;Kommunal;66;16832;8 353;255 000;126 600;21 300;6 700;8 500;4 420;87 500;
Munkfors;1762;Värmlands län;17;Kommunal;0;34;.;.;.;.;.;.;.;.;
Mölndal;1481;Västra Götalands län;14;Kommunal;530;72590;34 110;137 000;64 400;15 800;5 200;8 400;5 420;37 800;
Mönsterås;0861;Kalmar län;08;Kommunal;145;24879;18 106;172 200;125 300;20 400;3 400;4 100;190;18 700;
Mörbylånga;0840;Kalmar län;08;Kommunal;0;141;.;.;.;.;.;.;.;.;
Nacka;0182;Stockholms län;01;Kommunal;2 816;244297;148 992;86 800;52 900;17 000;4 100;3 300;2 280;7 100;
Nora;1884;Örebro län;18;Kommunal;15;3130;2 395;215 900;165 200;7 000;14 600;3 600;.;25 600;
Norberg;1962;Västmanlands län;19;Kommunal;0;391;227;.;.;.;.;.;.;.;
Nordanstig;2132;Gävleborgs län;21;Kommunal;0;164;.;.;.;.;.;.;.;.;
Nordmaling;2401;Västerbottens län;24;Kommunal;0;1026;.;.;.;.;.;.;.;.;
Norrköping;0581;Östergötlands län;05;Kommunal;3 640;486580;239 809;133 700;65 900;23 500;4 300;7 300;3 970;28 800;
Norrtälje;0188;Stockholms län;01;Kommunal;1 219;146596;55 930;120 300;45 900;18 700;3 400;9 700;6 010;36 500;
Norsjö;2417;Västerbottens län;24;Kommunal;5;1699;937;377 600;208 200;42 700;24 200;16 200;.;86 200;
Nybro;0881;Kalmar län;08;Kommunal;430;71977;39 381;167 400;91 600;21 400;3 400;14 300;5 070;31 700;
Nykvarn;0140;Stockholms län;01;Kommunal;0;3614;.;.;.;.;.;.;.;.;
Nyköping;0480;Södermanlands län;04;Kommunal;1 700;218967;115 887;128 800;68 200;24 600;4 300;9 800;4 370;17 500;
Nynäshamn;0192;Stockholms län;01;Kommunal;429;58575;26 597;136 500;62 000;31 000;6 000;4 200;7 000;26 300;
Nässjö;0682;Jönköpings län;06;Kommunal;1 120;161801;93 701;144 500;83 700;24 500;6 100;11 800;2 290;16 100;
Ockelbo;2101;Gävleborgs län;21;Kommunal;0;804;553;.;.;.;.;.;.;.;
Olofström;1060;Blekinge län;10;Kommunal;528;70239;41 680;133 000;78 900;16 800;5 800;13 300;3 530;14 700;
Orsa;2034;Dalarnas län;20;Kommunal;0;0;.;.;.;.;.;.;.;.;
Orust;1421;Västra Götalands län;14;Kommunal;20;7037;3 182;351 900;159 100;79 300;5 600;4 100;16 850;87 100;
Osby;1273;Skåne län;12;Kommunal;429;63571;40 856;148 200;95 200;18 800;4 000;7 100;2 540;20 500;
Oskarshamn;0882;Kalmar län;08;Kommunal;982;129969;81 540;132 400;83 000;19 900;7 300;12 400;2 360;7 300;
Ovanåker;2121;Gävleborgs län;21;Kommunal;273;44756;26 657;163 900;97 600;16 600;5 200;13 700;2 020;28 800;
Oxelösund;0481;Södermanlands län;04;Kommunal;0;1639;.;.;.;.;.;.;.;.;
Pajala;2521;Norrbottens län;25;Kommunal;0;3552;.;.;.;.;.;.;.;.;
Partille;1402;Västra Götalands län;14;Kommunal;402;56002;31 598;139 300;78 600;23 900;4 400;7 700;2 800;22 000;
Perstorp;1275;Skåne län;12;Kommunal;0;260;.;.;.;.;.;.;.;.;
Piteå;2581;Norrbottens län;25;Kommunal;1 559;222639;118 989;142 900;76 300;23 600;8 500;16 100;3 370;14 900;
Ragunda;2303;Jämtlands län;23;Kommunal;0;944;.;.;.;.;.;.;.;.;
Robertsfors;2409;Västerbottens län;24;Kommunal;0;2046;12;.;.;.;.;.;.;.;
Ronneby;1081;Blekinge län;10;Kommunal;954;145967;73 269;153 100;76 800;25 300;10 000;10 700;3 970;26 200;
Rättvik;2031;Dalarnas län;20;Kommunal;471;102630;60 432;217 900;128 300;33 200;10 900;17 900;2 410;25 200;
Sala;1981;Västmanlands län;19;Kommunal;663;103068;49 888;155 500;75 200;29 300;4 900;24 700;3 880;17 500;
Salem;0128;Stockholms län;01;Kommunal;436;55421;32 272;127 100;74 000;24 300;4 500;1 200;1 940;21 100;
Sandviken;2181;Gävleborgs län;21;Kommunal;1 030;156174;75 187;151 600;73 000;26 100;4 000;10 900;3 980;33 600;
Sigtuna;0191;Stockholms län;01;Kommunal;1 094;149962;92 425;137 100;84 500;21 200;3 700;5 500;3 630;18 500;
Simrishamn;1291;Skåne län;12;Kommunal;288;39663;19 174;137 700;66 600;18 700;7 900;5 700;11 170;27 700;
Sjöbo;1265;Skåne län;12;Kommunal;230;41153;23 595;179 300;102 800;22 800;6 100;25 500;7 810;14 400;
Skara;1495;Västra Götalands län;14;Kommunal;594;79766;41 762;134 300;70 300;22 900;3 700;6 100;2 590;28 700;
Skellefteå;2482;Västerbottens län;24;Kommunal;2 391;311188;187 076;130 100;78 200;20 200;5 200;11 900;2 520;12 100;
Skinnskatteberg;1904;Västmanlands län;19;Kommunal;0;548;.;.;.;.;.;.;.;.;
Skurup;1264;Skåne län;12;Kommunal;209;44711;11 175;214 400;53 600;27 900;8 100;27 100;3 270;94 500;
Skövde;1496;Västra Götalands län;14;Kommunal;2 265;264868;153 708;116 900;67 900;19 900;3 700;12 400;3 490;9 600;
Smedjebacken;2061;Dalarnas län;20;Kommunal;0;42;.;.;.;.;.;.;.;.;
Sollefteå;2283;Västernorrlands län;22;Kommunal;603;125516;64 523;208 200;107 000;47 400;9 500;13 600;3 760;26 800;
Sollentuna;0163;Stockholms län;01;Kommunal;2 254;232170;126 358;103 000;56 100;15 500;2 200;5 100;1 980;22 300;
Solna;0184;Stockholms län;01;Kommunal;775;80730;42 701;104 200;55 100;17 100;5 200;9 300;3 390;14 100;
Sorsele;2422;Västerbottens län;24;Kommunal;2;1603;.;801 500;.;-8 000;.;.;.;809 500;
Sotenäs;1427;Västra Götalands län;14;Kommunal;22;7048;4 092;327 800;190 300;32 300;3 200;4 100;6 880;90 900;
Staffanstorp;1230;Skåne län;12;Kommunal;21;7682;4 429;365 800;210 900;47 900;-35 300;50 900;33 100;58 300;
Stenungsund;1415;Västra Götalands län;14;Kommunal;1 324;167998;98 105;126 900;74 100;17 200;4 400;14 500;3 020;13 600;
Stockholm;0180;Stockholms län;01;Kommunal;17 904;2143958;1 136 932;119 800;63 500;24 200;6 400;8 500;2 760;14 400;
Storfors;1760;Värmlands län;17;Kommunal;0;545;35;.;.;.;.;.;.;.;
Storuman;2421;Västerbottens län;24;Kommunal;103;25070;14 147;244 600;138 000;37 800;6 700;23 700;5 030;33 400;
Strängnäs;0486;Södermanlands län;04;Kommunal;508;79707;31 106;156 900;61 200;46 200;6 300;7 200;6 200;29 800;
Strömstad;1486;Västra Götalands län;14;Kommunal;351;54004;26 468;154 100;75 500;33 200;7 500;9 900;3 610;24 300;
Strömsund;2313;Jämtlands län;23;Kommunal;309;50096;26 924;162 400;87 300;19 700;9 700;10 500;4 070;31 200;
Sundbyberg;0183;Stockholms län;01;Kommunal;273;43726;24 227;160 500;88 900;41 900;6 100;7 700;3 080;12 700;
Sundsvall;2281;Västernorrlands län;22;Kommunal;2 265;276853;140 405;122 200;62 000;23 000;6 100;7 700;4 200;19 200;
Sunne;1766;Värmlands län;17;Kommunal;366;72520;36 894;198 100;100 800;31 400;7 200;30 200;3 610;25 000;
Surahammar;1907;Västmanlands län;19;Kommunal;0;99;.;.;.;.;.;.;.;.;
Svalöv;1214;Skåne län;12;Kommunal;408;90549;45 323;221 900;111 100;50 200;6 100;17 100;1 820;35 600;
Svedala;1263;Skåne län;12;Kommunal;221;31373;21 272;142 000;96 300;14 900;4 000;8 400;2 560;15 900;
Svenljunga;1465;Västra Götalands län;14;Kommunal;5;4657;2 427;1 034 900;539 300;188 000;37 600;7 300;.;262 700;
Sydnärkes Utbildningsförbund;3181;;;Kommunal;1 385;229376;124 356;165 600;89 800;19 400;5 300;11 400;5 040;34 800;
Säffle;1785;Värmlands län;17;Kommunal;360;63017;26 102;175 000;72 500;31 200;7 700;29 900;5 510;28 300;
Säter;2082;Dalarnas län;20;Kommunal;57;21873;12 767;383 700;224 000;68 400;10 300;29 300;28 370;23 400;
Sävsjö;0684;Jönköpings län;06;Kommunal;291;48916;29 457;168 400;101 400;20 600;8 700;14 000;4 370;19 200;
Söderhamn;2182;Gävleborgs län;21;Kommunal;0;452;.;.;.;.;.;.;.;.;
Söderköping;0582;Östergötlands län;05;Kommunal;239;44454;22 970;186 400;96 300;23 600;11 600;9 300;4 870;40 600;
Södertälje;0181;Stockholms län;01;Kommunal;1 211;205128;108 967;169 400;90 000;35 600;5 900;7 200;4 040;26 700;
Sölvesborg;1083;Blekinge län;10;Kommunal;0;0;.;.;.;.;.;.;.;.;
Sölvesborgs-Bromöllas Kommunalförbund;3102;;;Kommunal;671;78317;43 691;116 700;65 100;14 200;7 800;4 100;3 160;22 200;
Tanum;1435;Västra Götalands län;14;Kommunal;16;9070;5 405;585 200;348 700;38 100;39 300;45 900;10 190;103 000;
Tibro;1472;Västra Götalands län;14;Kommunal;14;5900;3 337;421 400;238 400;19 100;18 900;15 000;4 430;125 600;
Tidaholm;1498;Västra Götalands län;14;Kommunal;303;49866;29 296;164 600;96 700;20 600;10 000;11 900;2 920;22 500;
