Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), per kön
Valt läsår: 2024/25

;;;;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Härjedalen;2361;Jämtlands län;23;Kommunal;48;16,8;81,3;..;..;57;16,8;66,7;12,3;21,1;
Härnösand;2280;Västernorrlands län;22;Samtliga;135;17,0;65,2;11,9;23,0;134;16,9;64,2;11,2;24,6;
Härnösand;2280;Västernorrlands län;22;Kommunal;123;17,0;63,4;12,2;24,4;127;16,9;63,8;11,0;25,2;
Härnösand;2280;Västernorrlands län;22;Enskild;12;16,9;~100;..;..;7;16,7;~100;..;..;
Härryda;1401;Västra Götalands län;14;Samtliga;311;15,3;80,4;9,0;10,6;297;15,2;73,1;11,1;15,8;
Härryda;1401;Västra Götalands län;14;Kommunal;282;15,6;79,1;9,9;11,0;266;15,6;71,1;12,0;16,9;
Härryda;1401;Västra Götalands län;14;Enskild;29;12,0;~100;.;..;31;12,1;~100;..;..;
Hässleholm;1293;Skåne län;12;Samtliga;331;17,0;69,2;14,8;16,0;326;16,9;64,4;9,8;25,8;
Hässleholm;1293;Skåne län;12;Kommunal;275;17,0;66,5;15,6;17,8;278;16,9;59,7;10,4;29,9;
Hässleholm;1293;Skåne län;12;Enskild;56;17,1;82,1;..;..;48;17,1;~100;..;..;
Höganäs;1284;Skåne län;12;Samtliga;169;17,0;75,1;8,9;16,0;163;16,9;71,8;8,6;19,6;
Höganäs;1284;Skåne län;12;Kommunal;159;17,0;76,7;8,2;15,1;150;16,9;73,3;9,3;17,3;
Höganäs;1284;Skåne län;12;Enskild;10;17,0;50,0;..;..;13;16,9;53,8;.;46,2;
Högsby;0821;Kalmar län;08;Samtliga;35;16,7;42,9;20,0;37,1;28;16,8;50,0;17,9;32,1;
Högsby;0821;Kalmar län;08;Kommunal;35;16,7;42,9;20,0;37,1;28;16,8;50,0;17,9;32,1;
Hörby;1266;Skåne län;12;Samtliga;95;16,1;66,3;13,7;20,0;82;16,1;53,7;15,9;30,5;
Hörby;1266;Skåne län;12;Kommunal;84;15,9;63,1;15,5;21,4;70;15,9;47,1;17,1;35,7;
Hörby;1266;Skåne län;12;Enskild;11;17,0;~100;.;..;12;17,0;~100;..;.;
Höör;1267;Skåne län;12;Samtliga;84;16,0;83,3;7,1;9,5;105;16,1;77,1;4,8;18,1;
Höör;1267;Skåne län;12;Kommunal;66;15,9;84,8;..;..;83;16,0;75,9;6,0;18,1;
Höör;1267;Skåne län;12;Enskild;18;16,6;~100;..;..;22;16,5;~100;.;..;
Jokkmokk;2510;Norrbottens län;25;Statlig;..;..;..;..;..;..;..;..;..;..;
Jokkmokk;2510;Norrbottens län;25;Samtliga;26;16,7;76,9;..;..;10;16,3;~100;..;..;
Jokkmokk;2510;Norrbottens län;25;Kommunal;17;16,6;~100;.;..;5;16,8;100,0;.;.;
Jokkmokk;2510;Norrbottens län;25;Enskild;..;.;.;.;.;..;..;..;.;..;
Järfälla;0123;Stockholms län;01;Samtliga;455;17,0;78,2;8,1;13,6;466;16,8;74,9;8,4;16,7;
Järfälla;0123;Stockholms län;01;Kommunal;373;17,2;78,6;8,6;12,9;376;17,0;75,0;7,7;17,3;
Järfälla;0123;Stockholms län;01;Enskild;82;16,3;76,8;6,1;17,1;90;16,1;74,4;11,1;14,4;
Jönköping;0680;Jönköpings län;06;Samtliga;840;17,0;79,8;8,8;11,4;951;16,8;71,8;8,3;19,9;
Jönköping;0680;Jönköpings län;06;Kommunal;729;16,9;80,5;8,4;11,1;840;16,8;72,3;7,7;20,0;
Jönköping;0680;Jönköpings län;06;Enskild;111;17,2;74,8;11,7;13,5;111;17,1;68,5;12,6;18,9;
Kalix;2514;Norrbottens län;25;Samtliga;74;16,3;74,3;10,8;14,9;77;16,1;67,5;13,0;19,5;
Kalix;2514;Norrbottens län;25;Kommunal;58;16,1;72,4;12,1;15,5;68;16,0;66,2;14,7;19,1;
Kalix;2514;Norrbottens län;25;Enskild;16;17,0;~100;..;..;9;16,9;~100;.;..;
Kalmar;0880;Kalmar län;08;Samtliga;440;17,0;77,0;10,7;12,3;451;17,0;74,5;9,8;15,7;
Kalmar;0880;Kalmar län;08;Kommunal;401;17,0;77,6;10,2;12,2;418;17,0;74,6;9,6;15,8;
Kalmar;0880;Kalmar län;08;Enskild;39;17,0;71,8;15,4;12,8;33;16,9;72,7;..;..;
Karlsborg;1446;Västra Götalands län;14;Samtliga;35;15,9;71,4;14,3;14,3;31;15,8;77,4;..;..;
Karlsborg;1446;Västra Götalands län;14;Kommunal;32;15,9;71,9;..;..;28;15,9;75,0;..;..;
Karlsborg;1446;Västra Götalands län;14;Enskild;..;..;..;.;..;..;..;..;.;.;
Karlshamn;1082;Blekinge län;10;Samtliga;164;17,0;78,0;14,0;7,9;172;16,9;70,9;14,0;15,1;
Karlshamn;1082;Blekinge län;10;Kommunal;150;17,1;77,3;14,7;8,0;156;17,1;69,9;14,1;16,0;
Karlshamn;1082;Blekinge län;10;Enskild;14;15,5;~100;..;..;16;14,9;~100;..;..;
Karlskoga;1883;Örebro län;18;Samtliga;165;17,1;55,2;15,8;29,1;151;17,0;59,6;9,9;30,5;
Karlskoga;1883;Örebro län;18;Kommunal;159;17,1;54,1;16,4;29,6;145;17,0;60,7;8,3;31,0;
Karlskoga;1883;Örebro län;18;Enskild;6;17,0;~100;.;..;6;17,0;..;..;..;
Karlskrona;1080;Blekinge län;10;Samtliga;378;16,2;75,9;11,6;12,4;374;16,0;69,8;8,8;21,4;
Karlskrona;1080;Blekinge län;10;Kommunal;284;16,6;72,2;13,7;14,1;288;16,4;68,1;9,4;22,6;
Karlskrona;1080;Blekinge län;10;Enskild;94;15,2;87,2;5,3;7,4;86;14,7;75,6;7,0;17,4;
Karlstad;1780;Värmlands län;17;Samtliga;531;17,0;71,0;13,6;15,4;594;17,0;71,2;13,6;15,2;
Karlstad;1780;Värmlands län;17;Kommunal;442;17,0;71,0;14,3;14,7;495;16,9;71,9;11,9;16,2;
Karlstad;1780;Värmlands län;17;Enskild;89;17,2;70,8;10,1;19,1;99;17,2;67,7;22,2;10,1;
Katrineholm;0483;Södermanlands län;04;Samtliga;214;17,0;55,1;18,2;26,6;233;16,9;58,8;14,6;26,6;
Katrineholm;0483;Södermanlands län;04;Kommunal;177;17,1;50,3;20,3;29,4;201;16,9;57,7;12,9;29,4;
Katrineholm;0483;Södermanlands län;04;Enskild;37;16,9;78,4;..;..;32;16,9;65,6;..;..;
Kil;1715;Värmlands län;17;Samtliga;81;16,9;74,1;16,0;9,9;65;16,9;60,0;15,4;24,6;
Kil;1715;Värmlands län;17;Kommunal;81;16,9;74,1;16,0;9,9;65;16,9;60,0;15,4;24,6;
Kinda;0513;Östergötlands län;05;Samtliga;54;16,9;83,3;..;..;53;16,9;73,6;11,3;15,1;
Kinda;0513;Östergötlands län;05;Kommunal;54;16,9;83,3;..;..;53;16,9;73,6;11,3;15,1;
Kiruna;2584;Norrbottens län;25;Statlig;..;..;..;..;..;..;..;..;..;..;
Kiruna;2584;Norrbottens län;25;Samtliga;124;16,9;67,7;12,9;19,4;128;16,8;57,0;11,7;31,3;
Kiruna;2584;Norrbottens län;25;Kommunal;104;16,9;66,3;13,5;20,2;102;16,8;52,0;14,7;33,3;
Kiruna;2584;Norrbottens län;25;Enskild;11;16,9;~100;..;..;15;17,0;~100;.;..;
Klippan;1276;Skåne län;12;Samtliga;110;17,0;78,2;10,9;10,9;103;17,0;61,2;16,5;22,3;
Klippan;1276;Skåne län;12;Kommunal;110;17,0;78,2;10,9;10,9;102;17,0;61,8;16,7;21,6;
Klippan;1276;Skåne län;12;Enskild;..;.;.;.;.;..;..;.;.;..;
Knivsta;0330;Uppsala län;03;Samtliga;155;16,3;80,6;12,3;7,1;178;16,4;78,7;7,9;13,5;
Knivsta;0330;Uppsala län;03;Kommunal;143;16,6;80,4;12,6;7,0;168;16,6;78,6;8,3;13,1;
Knivsta;0330;Uppsala län;03;Enskild;12;12,0;~100;..;..;10;12,1;~100;.;..;
Kramfors;2282;Västernorrlands län;22;Samtliga;78;17,0;64,1;6,4;29,5;90;16,9;65,6;8,9;25,6;
Kramfors;2282;Västernorrlands län;22;Kommunal;73;17,0;61,6;6,8;31,5;90;16,9;65,6;8,9;25,6;
Kramfors;2282;Västernorrlands län;22;Enskild;5;17,0;100,0;.;.;.;.;.;.;.;
Kristianstad;1290;Skåne län;12;Samtliga;500;16,8;71,0;13,4;15,6;533;16,8;64,2;10,3;25,5;
Kristianstad;1290;Skåne län;12;Kommunal;451;16,8;71,8;13,1;15,1;462;16,8;64,9;10,2;24,9;
Kristianstad;1290;Skåne län;12;Enskild;49;17,1;63,3;16,3;20,4;71;17,0;59,2;11,3;29,6;
Kristinehamn;1781;Värmlands län;17;Samtliga;109;16,8;63,3;15,6;21,1;139;16,6;56,8;12,9;30,2;
Kristinehamn;1781;Värmlands län;17;Kommunal;109;16,8;63,3;15,6;21,1;139;16,6;56,8;12,9;30,2;
Krokom;2309;Jämtlands län;23;Samtliga;95;16,2;63,2;9,5;27,4;90;16,3;70,0;13,3;16,7;
Krokom;2309;Jämtlands län;23;Kommunal;95;16,2;63,2;9,5;27,4;90;16,3;70,0;13,3;16,7;
Kumla;1881;Örebro län;18;Samtliga;129;16,3;70,5;12,4;17,1;153;16,4;63,4;11,1;25,5;
Kumla;1881;Örebro län;18;Kommunal;129;16,3;70,5;12,4;17,1;153;16,4;63,4;11,1;25,5;
Kungsbacka;1384;Hallands län;13;Samtliga;584;15,7;79,5;7,5;13,0;630;15,8;77,5;7,5;15,1;
Kungsbacka;1384;Hallands län;13;Kommunal;454;16,2;78,0;7,7;14,3;520;16,2;76,0;7,7;16,3;
Kungsbacka;1384;Hallands län;13;Enskild;130;14,0;84,6;6,9;8,5;110;14,2;84,5;6,4;9,1;
Kungsör;1960;Västmanlands län;19;Samtliga;50;15,9;56,0;20,0;24,0;47;15,7;44,7;17,0;38,3;
Kungsör;1960;Västmanlands län;19;Kommunal;50;15,9;56,0;20,0;24,0;47;15,7;44,7;17,0;38,3;
Kungälv;1482;Västra Götalands län;14;Samtliga;278;16,5;81,7;9,7;8,6;295;16,2;75,9;8,8;15,3;
Kungälv;1482;Västra Götalands län;14;Kommunal;248;16,5;79,8;10,5;9,7;264;16,4;75,0;8,7;16,3;
Kungälv;1482;Västra Götalands län;14;Enskild;30;16,0;~100;..;.;31;14,6;83,9;..;..;
Kävlinge;1261;Skåne län;12;Samtliga;207;17,1;84,5;8,2;7,2;242;17,0;83,1;8,3;8,7;
Kävlinge;1261;Skåne län;12;Kommunal;183;17,1;85,2;8,2;6,6;205;17,1;81,0;8,8;10,2;
Kävlinge;1261;Skåne län;12;Enskild;24;16,9;79,2;..;..;37;16,9;~100;..;.;
Köping;1983;Västmanlands län;19;Samtliga;159;17,0;78,0;10,7;11,3;157;16,9;66,2;9,6;24,2;
Köping;1983;Västmanlands län;19;Kommunal;159;17,0;78,0;10,7;11,3;157;16,9;66,2;9,6;24,2;
Laholm;1381;Hallands län;13;Samtliga;139;16,9;64,0;12,9;23,0;159;17,1;61,6;11,3;27,0;
Laholm;1381;Hallands län;13;Kommunal;137;16,9;63,5;13,1;23,4;155;17,1;60,6;11,6;27,7;
Laholm;1381;Hallands län;13;Enskild;..;..;..;.;.;..;..;..;.;.;
Landskrona;1282;Skåne län;12;Samtliga;255;17,1;76,9;7,8;15,3;320;17,0;57,8;13,1;29,1;
Landskrona;1282;Skåne län;12;Kommunal;185;17,1;74,1;9,2;16,8;208;16,9;57,7;12,0;30,3;
Landskrona;1282;Skåne län;12;Enskild;70;17,2;84,3;..;..;112;17,2;58,0;15,2;26,8;
Laxå;1860;Örebro län;18;Samtliga;24;16,9;70,8;..;..;27;16,6;63,0;..;..;
Laxå;1860;Örebro län;18;Kommunal;24;16,9;70,8;..;..;27;16,6;63,0;..;..;
Lekeberg;1814;Örebro län;18;Samtliga;37;13,1;64,9;13,5;21,6;59;12,8;59,3;16,9;23,7;
Lekeberg;1814;Örebro län;18;Kommunal;37;13,1;64,9;13,5;21,6;59;12,8;59,3;16,9;23,7;
Leksand;2029;Dalarnas län;20;Samtliga;75;16,2;76,0;6,7;17,3;90;16,0;67,8;11,1;21,1;
Leksand;2029;Dalarnas län;20;Kommunal;55;16,0;78,2;..;..;82;15,9;67,1;11,0;22,0;
Leksand;2029;Dalarnas län;20;Enskild;20;16,8;70,0;..;..;8;16,8;~100;..;..;
Lerum;1441;Västra Götalands län;14;Samtliga;313;16,9;70,0;9,3;20,8;303;16,8;68,3;10,9;20,8;
Lerum;1441;Västra Götalands län;14;Kommunal;299;16,9;69,6;9,4;21,1;288;16,8;67,7;10,8;21,5;
Lerum;1441;Västra Götalands län;14;Enskild;14;17,0;~100;..;..;15;16,9;~100;..;..;
Lessebo;0761;Kronobergs län;07;Samtliga;64;17,1;56,3;20,3;23,4;40;16,8;..;..;47,5;
Lessebo;0761;Kronobergs län;07;Kommunal;64;17,1;56,3;20,3;23,4;40;16,8;..;..;47,5;
Lidingö;0186;Stockholms län;01;Samtliga;268;16,2;88,8;3,0;8,2;298;16,3;85,2;7,7;7,0;
Lidingö;0186;Stockholms län;01;Kommunal;192;17,0;85,4;3,6;10,9;219;17,0;86,3;5,9;7,8;
Lidingö;0186;Stockholms län;01;Enskild;76;14,2;~100;..;..;79;14,3;82,3;..;..;
Lidköping;1494;Västra Götalands län;14;Samtliga;226;16,8;75,7;8,0;16,4;246;16,7;73,2;7,7;19,1;
Lidköping;1494;Västra Götalands län;14;Kommunal;208;17,0;73,6;8,7;17,8;228;16,9;71,5;7,9;20,6;
Lidköping;1494;Västra Götalands län;14;Enskild;18;14,1;100,0;.;.;18;14,0;~100;..;.;
Lilla Edet;1462;Västra Götalands län;14;Samtliga;64;17,0;67,2;17,2;15,6;95;16,9;62,1;15,8;22,1;
Lilla Edet;1462;Västra Götalands län;14;Kommunal;60;17,1;71,7;15,0;13,3;87;16,9;65,5;14,9;19,5;
Lilla Edet;1462;Västra Götalands län;14;Enskild;..;..;.;..;..;..;17,3;..;..;..;
Lindesberg;1885;Örebro län;18;Samtliga;131;16,5;61,8;13,0;25,2;127;16,5;62,2;8,7;29,1;
Lindesberg;1885;Örebro län;18;Kommunal;124;16,7;62,1;12,1;25,8;120;16,7;60,0;9,2;30,8;
Lindesberg;1885;Örebro län;18;Enskild;7;12,6;..;..;..;7;13,4;100,0;.;.;
Linköping;0580;Östergötlands län;05;Samtliga;941;16,9;74,4;9,9;15,7;988;16,8;69,9;7,2;22,9;
Linköping;0580;Östergötlands län;05;Kommunal;844;17,0;75,0;9,1;15,9;883;17,0;70,7;7,0;22,3;
Linköping;0580;Östergötlands län;05;Enskild;97;15,4;69,1;16,5;14,4;105;15,2;63,8;8,6;27,6;
Ljungby;0781;Kronobergs län;07;Samtliga;136;17,0;77,9;10,3;11,8;152;16,8;65,8;11,2;23,0;
Ljungby;0781;Kronobergs län;07;Kommunal;129;17,0;76,7;10,9;12,4;137;16,8;65,0;10,9;24,1;
Ljungby;0781;Kronobergs län;07;Enskild;7;17,0;100,0;.;.;15;16,8;~100;..;..;
Ljusdal;2161;Gävleborgs län;21;Samtliga;95;16,9;58,9;24,2;16,8;106;16,8;63,2;8,5;28,3;
Ljusdal;2161;Gävleborgs län;21;Kommunal;76;17,1;57,9;22,4;19,7;91;17,0;60,4;7,7;31,9;
Ljusdal;2161;Gävleborgs län;21;Enskild;19;16,2;63,2;..;..;15;15,3;~100;..;..;
Ljusnarsberg;1864;Örebro län;18;Samtliga;12;16,9;41,7;..;..;15;16,9;..;..;46,7;
Ljusnarsberg;1864;Örebro län;18;Kommunal;12;16,9;41,7;..;..;15;16,9;..;..;46,7;
Lomma;1262;Skåne län;12;Samtliga;216;14,7;92,1;2,8;5,1;223;14,9;89,2;2,7;8,1;
Lomma;1262;Skåne län;12;Kommunal;206;14,6;91,7;2,9;5,3;212;14,8;90,1;2,8;7,1;
Lomma;1262;Skåne län;12;Enskild;10;17,0;100,0;.;.;11;16,8;~100;.;..;
Ludvika;2085;Dalarnas län;20;Samtliga;179;16,9;50,3;12,3;37,4;181;17,0;53,0;18,2;28,7;
Ludvika;2085;Dalarnas län;20;Kommunal;169;16,9;47,9;13,0;39,1;168;17,0;51,2;19,0;29,8;
Ludvika;2085;Dalarnas län;20;Enskild;10;17,0;~100;.;..;13;17,0;~100;..;..;
Luleå;2580;Norrbottens län;25;Samtliga;376;16,4;80,9;8,8;10,4;417;16,3;74,6;9,6;15,8;
Luleå;2580;Norrbottens län;25;Kommunal;326;16,4;79,4;9,5;11,0;371;16,3;72,5;10,5;17,0;
Luleå;2580;Norrbottens län;25;Enskild;50;16,3;90,0;..;..;46;16,6;~100;..;..;
Lund;1281;Skåne län;12;Samtliga;782;16,7;79,7;7,7;12,7;856;16,6;78,5;8,6;12,9;
Lund;1281;Skåne län;12;Kommunal;622;16,6;77,7;7,7;14,6;685;16,5;78,8;8,3;12,8;
Lund;1281;Skåne län;12;Enskild;160;16,9;87,5;7,5;5,0;171;16,8;77,2;9,9;12,9;
Lycksele;2481;Västerbottens län;24;Samtliga;61;16,5;70,5;8,2;21,3;63;16,5;68,3;14,3;17,5;
Lycksele;2481;Västerbottens län;24;Kommunal;61;16,5;70,5;8,2;21,3;63;16,5;68,3;14,3;17,5;
Lysekil;1484;Västra Götalands län;14;Samtliga;84;16,7;64,3;17,9;17,9;80;16,7;72,5;12,5;15,0;
Lysekil;1484;Västra Götalands län;14;Kommunal;84;16,7;64,3;17,9;17,9;80;16,7;72,5;12,5;15,0;
Malmö;1280;Skåne län;12;Samtliga;2 000;16,8;66,2;12,7;21,2;2 015;16,8;62,1;13,1;24,9;
Malmö;1280;Skåne län;12;Kommunal;1 662;17,1;64,2;12,8;23,0;1 730;17,0;60,5;13,1;26,4;
Malmö;1280;Skåne län;12;Enskild;338;15,2;75,7;11,8;12,4;285;15,4;71,9;12,6;15,4;
Malung-Sälen;2023;Dalarnas län;20;Samtliga;49;13,5;81,6;..;..;48;14,2;58,3;14,6;27,1;
Malung-Sälen;2023;Dalarnas län;20;Kommunal;49;13,5;81,6;..;..;48;14,2;58,3;14,6;27,1;
Malå;2418;Västerbottens län;24;Samtliga;21;15,8;76,2;..;..;20;15,8;~100;..;..;
Malå;2418;Västerbottens län;24;Kommunal;21;15,8;76,2;..;..;20;15,8;~100;..;..;
Mariestad;1493;Västra Götalands län;14;Samtliga;137;17,0;70,8;10,9;18,2;139;16,9;69,8;8,6;21,6;
Mariestad;1493;Västra Götalands län;14;Kommunal;125;17,0;68,8;12,0;19,2;125;16,9;68,8;8,8;22,4;
Mariestad;1493;Västra Götalands län;14;Enskild;12;17,0;~100;.;..;14;17,0;~100;..;..;
Mark;1463;Västra Götalands län;14;Samtliga;197;16,2;69,5;12,7;17,8;202;16,0;65,8;12,9;21,3;
Mark;1463;Västra Götalands län;14;Kommunal;185;16,2;69,7;13,0;17,3;186;16,0;65,1;13,4;21,5;
Mark;1463;Västra Götalands län;14;Enskild;12;16,3;~100;..;..;16;15,4;~100;..;..;
Markaryd;0767;Kronobergs län;07;Samtliga;63;17,1;55,6;14,3;30,2;49;17,0;40,8;18,4;40,8;
Markaryd;0767;Kronobergs län;07;Kommunal;63;17,1;55,6;14,3;30,2;49;17,0;40,8;18,4;40,8;
Mellerud;1461;Västra Götalands län;14;Samtliga;39;16,4;71,8;..;..;47;17,0;53,2;..;..;
Mellerud;1461;Västra Götalands län;14;Kommunal;39;16,4;71,8;..;..;47;17,0;53,2;..;..;
Mjölby;0586;Östergötlands län;05;Samtliga;155;17,0;79,4;11,6;9,0;149;16,9;63,8;12,1;24,2;
Mjölby;0586;Östergötlands län;05;Kommunal;155;17,0;79,4;11,6;9,0;149;16,9;63,8;12,1;24,2;
Mora;2062;Dalarnas län;20;Samtliga;109;16,9;69,7;11,0;19,3;117;16,8;59,0;13,7;27,4;
Mora;2062;Dalarnas län;20;Kommunal;103;16,9;68,9;11,7;19,4;112;16,9;58,9;14,3;26,8;
Mora;2062;Dalarnas län;20;Enskild;6;16,0;~100;.;..;5;16,0;..;.;..;
Motala;0583;Östergötlands län;05;Samtliga;250;17,0;72,4;15,2;12,4;259;17,0;71,0;11,2;17,8;
Motala;0583;Östergötlands län;05;Kommunal;218;17,0;71,1;15,6;13,3;231;17,0;71,0;11,3;17,7;
Motala;0583;Östergötlands län;05;Enskild;32;17,0;81,3;..;..;28;16,9;71,4;..;..;
Mullsjö;0642;Jönköpings län;06;Samtliga;51;16,8;68,6;..;..;51;16,7;58,8;13,7;27,5;
Mullsjö;0642;Jönköpings län;06;Kommunal;51;16,8;68,6;..;..;51;16,7;58,8;13,7;27,5;
Munkedal;1430;Västra Götalands län;14;Samtliga;64;16,9;76,6;9,4;14,1;81;16,9;63,0;12,3;24,7;
Munkedal;1430;Västra Götalands län;14;Kommunal;64;16,9;76,6;9,4;14,1;81;16,9;63,0;12,3;24,7;
Munkfors;1762;Värmlands län;17;Samtliga;15;17,3;66,7;..;..;22;17,0;..;..;54,5;
Munkfors;1762;Värmlands län;17;Kommunal;15;17,3;66,7;..;..;22;17,0;..;..;54,5;
Mölndal;1481;Västra Götalands län;14;Samtliga;413;16,5;79,2;6,3;14,5;442;16,4;68,8;13,3;17,9;
Mölndal;1481;Västra Götalands län;14;Kommunal;393;16,7;78,6;6,4;15,0;412;16,7;68,4;13,6;18,0;
Mölndal;1481;Västra Götalands län;14;Enskild;20;12,2;~100;..;..;30;12,0;73,3;..;..;
Mönsterås;0861;Kalmar län;08;Samtliga;83;16,9;62,7;21,7;15,7;70;17,0;62,9;11,4;25,7;
Mönsterås;0861;Kalmar län;08;Kommunal;83;16,9;62,7;21,7;15,7;70;17,0;62,9;11,4;25,7;
Mörbylånga;0840;Kalmar län;08;Samtliga;107;17,0;86,9;5,6;7,5;103;16,9;80,6;8,7;10,7;
Mörbylånga;0840;Kalmar län;08;Kommunal;93;17,0;86,0;5,4;8,6;91;16,9;80,2;8,8;11,0;
Mörbylånga;0840;Kalmar län;08;Enskild;14;17,0;~100;..;.;12;16,9;~100;..;..;
Nacka;0182;Stockholms län;01;Samtliga;759;16,5;89,3;5,0;5,7;797;16,5;83,7;7,4;8,9;
Nacka;0182;Stockholms län;01;Kommunal;472;16,2;89,6;4,4;5,9;483;16,3;81,4;7,7;11,0;
Nacka;0182;Stockholms län;01;Enskild;287;16,9;88,9;5,9;5,2;314;16,8;87,3;7,0;5,7;
Nora;1884;Örebro län;18;Samtliga;61;16,9;78,7;9,8;11,5;70;16,8;70,0;10,0;20,0;
Nora;1884;Örebro län;18;Kommunal;56;16,9;78,6;8,9;12,5;64;16,8;67,2;10,9;21,9;
Nora;1884;Örebro län;18;Enskild;5;17,0;..;..;.;6;17,0;100,0;.;.;
Norberg;1962;Västmanlands län;19;Samtliga;30;16,5;66,7;..;..;29;16,6;62,1;..;..;
Norberg;1962;Västmanlands län;19;Kommunal;30;16,5;66,7;..;..;29;16,6;62,1;..;..;
Nordanstig;2132;Gävleborgs län;21;Samtliga;56;16,9;76,8;..;..;52;16,8;36,5;21,2;42,3;
Nordanstig;2132;Gävleborgs län;21;Kommunal;50;16,9;76,0;..;..;48;16,8;37,5;18,8;43,8;
Nordanstig;2132;Gävleborgs län;21;Enskild;..;16,8;~100;..;.;..;..;..;..;..;
Nordmaling;2401;Västerbottens län;24;Samtliga;31;12,0;71,0;..;..;35;12,0;60,0;17,1;22,9;
Nordmaling;2401;Västerbottens län;24;Kommunal;31;12,0;71,0;..;..;35;12,0;60,0;17,1;22,9;
Norrköping;0581;Östergötlands län;05;Samtliga;902;16,0;71,1;11,8;17,2;873;15,8;63,9;12,4;23,7;
Norrköping;0581;Östergötlands län;05;Kommunal;609;16,1;68,5;13,1;18,4;641;16,0;61,0;12,8;26,2;
Norrköping;0581;Östergötlands län;05;Enskild;293;15,8;76,5;8,9;14,7;232;15,4;72,0;11,2;16,8;
Norrtälje;0188;Stockholms län;01;Samtliga;313;16,2;69,0;15,3;15,7;345;16,4;68,1;12,8;19,1;
Norrtälje;0188;Stockholms län;01;Kommunal;203;17,0;68,0;16,3;15,8;254;16,8;65,7;13,0;21,3;
Norrtälje;0188;Stockholms län;01;Enskild;110;14,8;70,9;13,6;15,5;91;15,4;74,7;12,1;13,2;
Norsjö;2417;Västerbottens län;24;Samtliga;19;16,9;~100;..;..;24;16,9;62,5;..;..;
Norsjö;2417;Västerbottens län;24;Kommunal;19;16,9;~100;..;..;24;16,9;62,5;..;..;
Nybro;0881;Kalmar län;08;Samtliga;115;16,0;67,8;13,9;18,3;121;16,0;52,9;19,0;28,1;
Nybro;0881;Kalmar län;08;Kommunal;105;16,0;68,6;13,3;18,1;114;15,9;52,6;19,3;28,1;
Nybro;0881;Kalmar län;08;Enskild;10;16,6;~100;..;..;7;16,9;..;..;..;
Nykvarn;0140;Stockholms län;01;Samtliga;70;17,0;85,7;..;..;77;16,9;81,8;11,7;6,5;
Nykvarn;0140;Stockholms län;01;Kommunal;70;17,0;85,7;..;..;77;16,9;81,8;11,7;6,5;
Nyköping;0480;Södermanlands län;04;Samtliga;357;16,9;73,1;10,6;16,2;354;16,8;62,7;9,9;27,4;
Nyköping;0480;Södermanlands län;04;Kommunal;279;17,0;70,6;11,5;17,9;291;16,9;58,1;11,0;30,9;
Nyköping;0480;Södermanlands län;04;Enskild;78;16,5;82,1;7,7;10,3;63;16,6;84,1;..;..;
Nynäshamn;0192;Stockholms län;01;Samtliga;139;14,8;71,2;12,2;16,5;161;14,9;70,8;9,3;19,9;
Nynäshamn;0192;Stockholms län;01;Kommunal;139;14,8;71,2;12,2;16,5;161;14,9;70,8;9,3;19,9;
Nässjö;0682;Jönköpings län;06;Samtliga;165;17,1;63,0;17,0;20,0;203;17,0;58,1;17,7;24,1;
Nässjö;0682;Jönköpings län;06;Kommunal;165;17,1;63,0;17,0;20,0;203;17,0;58,1;17,7;24,1;
Ockelbo;2101;Gävleborgs län;21;Samtliga;28;16,9;50,0;21,4;28,6;42;16,7;33,3;26,2;40,5;
Ockelbo;2101;Gävleborgs län;21;Kommunal;28;16,9;50,0;21,4;28,6;42;16,7;33,3;26,2;40,5;
Olofström;1060;Blekinge län;10;Samtliga;75;17,3;68,0;13,3;18,7;71;17,2;66,2;14,1;19,7;
Olofström;1060;Blekinge län;10;Kommunal;75;17,3;68,0;13,3;18,7;71;17,2;66,2;14,1;19,7;
Orsa;2034;Dalarnas län;20;Samtliga;19;15,3;63,2;..;..;41;14,5;65,9;..;..;
Orsa;2034;Dalarnas län;20;Kommunal;17;15,1;58,8;..;..;40;14,4;67,5;..;..;
Orsa;2034;Dalarnas län;20;Enskild;..;..;..;.;.;..;..;.;.;..;
Orust;1421;Västra Götalands län;14;Samtliga;74;16,7;66,2;20,3;13,5;78;16,6;66,7;11,5;21,8;
Orust;1421;Västra Götalands län;14;Kommunal;67;16,9;67,2;19,4;13,4;73;16,9;65,8;11,0;23,3;
Orust;1421;Västra Götalands län;14;Enskild;7;14,4;..;..;..;5;12,0;..;..;.;
