Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), samtliga elever
Valt läsår: 2019/20

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Ale;1440;Västra Götalands län;14;Samtliga;399;16,8;74,4;10,5;15,0;
Ale;1440;Västra Götalands län;14;Kommunal;375;17,0;73,9;10,7;15,5;
Ale;1440;Västra Götalands län;14;Enskild;24;12,9;~100;..;..;
Alingsås;1489;Västra Götalands län;14;Samtliga;511;15,8;77,7;7,0;15,3;
Alingsås;1489;Västra Götalands län;14;Kommunal;411;15,5;77,1;7,3;15,6;
Alingsås;1489;Västra Götalands län;14;Enskild;100;16,9;80,0;..;..;
Alvesta;0764;Kronobergs län;07;Samtliga;258;16,9;68,6;9,7;21,7;
Alvesta;0764;Kronobergs län;07;Kommunal;246;17,0;69,5;8,9;21,5;
Alvesta;0764;Kronobergs län;07;Enskild;12;16,4;..;..;..;
Aneby;0604;Jönköpings län;06;Samtliga;83;12,1;53,0;18,1;28,9;
Aneby;0604;Jönköpings län;06;Kommunal;82;12,0;53,7;18,3;28,0;
Aneby;0604;Jönköpings län;06;Enskild;..;..;.;.;..;
Arboga;1984;Västmanlands län;19;Samtliga;140;14,4;61,4;15,0;23,6;
Arboga;1984;Västmanlands län;19;Kommunal;140;14,4;61,4;15,0;23,6;
Arjeplog;2506;Norrbottens län;25;Samtliga;25;16,9;100,0;.;.;
Arjeplog;2506;Norrbottens län;25;Kommunal;25;16,9;100,0;.;.;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;75;10,8;88,0;..;..;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;75;10,8;88,0;..;..;
Arvika;1784;Värmlands län;17;Samtliga;263;16,9;74,9;7,2;17,9;
Arvika;1784;Värmlands län;17;Kommunal;263;16,9;74,9;7,2;17,9;
Askersund;1882;Örebro län;18;Samtliga;112;14,7;66,1;14,3;19,6;
Askersund;1882;Örebro län;18;Kommunal;112;14,7;66,1;14,3;19,6;
Avesta;2084;Dalarnas län;20;Samtliga;284;16,8;59,9;16,2;23,9;
