Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), samtliga elever
Valt läsår: 2023/24

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Ale;1440;Västra Götalands län;14;Samtliga;463;15,8;74,9;10,6;14,5;
Ale;1440;Västra Götalands län;14;Kommunal;414;16,3;73,7;11,1;15,2;
Ale;1440;Västra Götalands län;14;Enskild;49;11,9;85,7;..;..;
Alingsås;1489;Västra Götalands län;14;Samtliga;549;16,0;71,8;9,7;18,6;
Alingsås;1489;Västra Götalands län;14;Kommunal;449;15,9;69,3;10,2;20,5;
Alingsås;1489;Västra Götalands län;14;Enskild;100;16,5;83,0;7,0;10,0;
Alvesta;0764;Kronobergs län;07;Samtliga;234;16,9;67,5;13,2;19,2;
Alvesta;0764;Kronobergs län;07;Kommunal;227;16,9;67,8;13,7;18,5;
Alvesta;0764;Kronobergs län;07;Enskild;7;16,7;..;.;..;
Aneby;0604;Jönköpings län;06;Samtliga;87;12,2;62,1;16,1;21,8;
Aneby;0604;Jönköpings län;06;Kommunal;82;12,0;64,6;17,1;18,3;
Aneby;0604;Jönköpings län;06;Enskild;5;16,0;..;.;..;
Arboga;1984;Västmanlands län;19;Samtliga;158;16,1;58,2;14,6;27,2;
Arboga;1984;Västmanlands län;19;Kommunal;154;16,1;57,1;14,9;27,9;
Arboga;1984;Västmanlands län;19;Enskild;..;..;..;.;.;
Arjeplog;2506;Norrbottens län;25;Samtliga;32;17,0;78,1;..;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;32;17,0;78,1;..;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;72;16,9;79,2;6,9;13,9;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;72;16,9;79,2;6,9;13,9;
Arvika;1784;Värmlands län;17;Samtliga;272;16,8;59,9;14,7;25,4;
Arvika;1784;Värmlands län;17;Kommunal;272;16,8;59,9;14,7;25,4;
Askersund;1882;Örebro län;18;Samtliga;117;16,9;69,2;10,3;20,5;
