Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), samtliga elever
Valt läsår: 2024/25

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Ale;1440;Västra Götalands län;14;Samtliga;445;17,1;75,7;9,7;14,6;
Ale;1440;Västra Götalands län;14;Kommunal;420;17,1;75,0;9,5;15,5;
Ale;1440;Västra Götalands län;14;Enskild;25;17,0;~100;..;.;
Alingsås;1489;Västra Götalands län;14;Samtliga;558;16,4;64,3;12,9;22,8;
Alingsås;1489;Västra Götalands län;14;Kommunal;456;16,4;62,5;13,4;24,1;
Alingsås;1489;Västra Götalands län;14;Enskild;102;16,4;72,5;10,8;16,7;
Alvesta;0764;Kronobergs län;07;Samtliga;241;16,9;64,3;12,9;22,8;
Alvesta;0764;Kronobergs län;07;Kommunal;228;16,9;65,4;12,3;22,4;
Alvesta;0764;Kronobergs län;07;Enskild;13;16,8;46,2;..;..;
Aneby;0604;Jönköpings län;06;Samtliga;87;16,9;62,1;13,8;24,1;
Aneby;0604;Jönköpings län;06;Kommunal;84;16,9;64,3;14,3;21,4;
Aneby;0604;Jönköpings län;06;Enskild;..;..;.;.;..;
Arboga;1984;Västmanlands län;19;Samtliga;153;16,8;62,1;10,5;27,5;
Arboga;1984;Västmanlands län;19;Kommunal;149;16,9;61,1;10,7;28,2;
Arboga;1984;Västmanlands län;19;Enskild;..;..;..;.;.;
Arjeplog;2506;Norrbottens län;25;Samtliga;28;17,0;78,6;..;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;28;17,0;78,6;..;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;59;16,9;71,2;8,5;20,3;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;59;16,9;71,2;8,5;20,3;
Arvika;1784;Värmlands län;17;Samtliga;294;16,9;73,5;8,5;18,0;
Arvika;1784;Värmlands län;17;Kommunal;294;16,9;73,5;8,5;18,0;
Askersund;1882;Örebro län;18;Samtliga;119;16,8;63,9;13,4;22,7;
Askersund;1882;Örebro län;18;Kommunal;119;16,8;63,9;13,4;22,7;
Avesta;2084;Dalarnas län;20;Samtliga;274;17,0;51,5;13,1;35,4;
Avesta;2084;Dalarnas län;20;Kommunal;253;17,1;48,2;14,2;37,5;
Avesta;2084;Dalarnas län;20;Enskild;21;15,8;~100;.;..;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;99;16,9;53,5;16,2;30,3;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;99;16,9;53,5;16,2;30,3;
Berg;2326;Jämtlands län;23;Samtliga;73;17,0;65,8;16,4;17,8;
Berg;2326;Jämtlands län;23;Kommunal;66;17,0;63,6;18,2;18,2;
Berg;2326;Jämtlands län;23;Enskild;7;16,9;~100;.;..;
Bjurholm;2403;Västerbottens län;24;Samtliga;26;16,8;57,7;..;..;
Bjurholm;2403;Västerbottens län;24;Kommunal;26;16,8;57,7;..;..;
Bjuv;1260;Skåne län;12;Samtliga;177;17,0;46,3;15,8;37,9;
Bjuv;1260;Skåne län;12;Kommunal;177;17,0;46,3;15,8;37,9;
Boden;2582;Norrbottens län;25;Samtliga;284;16,8;72,9;9,5;17,6;
Boden;2582;Norrbottens län;25;Kommunal;219;16,8;72,1;8,7;19,2;
Boden;2582;Norrbottens län;25;Enskild;65;16,5;75,4;12,3;12,3;
Bollebygd;1443;Västra Götalands län;14;Samtliga;124;16,9;73,4;8,9;17,7;
Bollebygd;1443;Västra Götalands län;14;Kommunal;104;16,9;72,1;8,7;19,2;
Bollebygd;1443;Västra Götalands län;14;Enskild;20;17,0;~100;..;..;
Bollnäs;2183;Gävleborgs län;21;Samtliga;310;17,0;71,3;10,3;18,4;
Bollnäs;2183;Gävleborgs län;21;Kommunal;264;17,1;73,1;8,3;18,6;
Bollnäs;2183;Gävleborgs län;21;Enskild;46;16,6;60,9;21,7;17,4;
Borgholm;0885;Kalmar län;08;Samtliga;89;16,9;62,9;16,9;20,2;
